Run_ID,Feed_Temp_K,Feed_Press_Pa,Benzene_Frac,Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate,x_D_Benzene,x_B_Benzene,Q_C_kW,Q_R_kW,Converged
1636,312.63173337794194,124528.61545623817,0.4042039686526477,25,5,2.8798456018537766,53.768715087646825,0,0,0,0,False
1637,329.328629724904,136251.55407974005,0.476292740598806,21,12,4.255206576886442,50.522160093862176,0,0,0,0,False
1638,320.94713557527166,108607.0910532915,0.5873072108331712,15,6,1.3245336674952448,45.440190395443224,0.6105692005965807,0.000411774507532613,86153.66752178114,93451.4566701837,True
1639,339.97980263211286,128649.2412178994,0.33023482207425015,18,9,1.4485181767167754,49.96661187332217,0.345326552408639,0.0001673990400604756,88650.13811726714,94199.01403005929,True
1640,313.3864579117315,122749.98710098921,0.4448474975206309,18,11,2.472550798031329,51.62704477241953,0.4654506754981272,0.0008604781951993183,126825.96164237392,136138.74888951183,True
1641,308.2895610850327,102035.80432521405,0.6133901954542897,17,7,1.540138571725398,42.12236902698829,0.635754230830073,0.0001739779156086121,94550.29798596971,103756.68122133256,True
1642,335.50905239885867,125930.03904579688,0.6174151448724393,27,12,4.493180832212009,45.70258216534677,0,0,0,0,False
1643,324.9249569322761,103530.90316090517,0.34003223220520273,25,13,2.8578503617052577,54.66568868257761,0,0,0,0,False
1644,343.85057479544514,104805.90724249395,0.5815993506476468,19,8,4.702259328143509,44.500690172826765,0.6041776321563622,2.7244775188139864e-05,211468.11460934475,214912.88798769802,True
1645,291.0619595536918,141177.89926529326,0.5938215769718296,20,10,2.744768157183056,41.62121852255805,0.615280508491774,0.00010122940567666209,139331.2539463185,151306.4303195046,True
1646,329.6315494944425,132316.84457338572,0.6317050821261023,19,13,3.546574530971828,48.62248581491092,0.6582653713291285,0.002322228691922833,168334.2825223363,173969.89327311618,True
1647,347.8304479235029,137574.346658602,0.4285078247593823,18,10,2.835784109228869,57.361149764890925,0.45076073467330025,0.00033329652484799185,139160.56186568257,142739.26963018576,True
1648,349.2674536999971,108636.49161387316,0.3338253714143395,26,5,2.8059859401722425,42.83406374324189,0,0,0,0,False
1649,338.58327946578606,127108.58736048455,0.5482021389646181,26,9,1.4528407824738805,56.85317445314057,0,0,0,0,False
1650,346.3689875376805,138227.36066075697,0.4052510702523909,28,13,1.2536988524423003,55.727523788115576,0,0,0,0,False
1651,321.6210352729246,108882.4667391519,0.6571481756795179,21,11,3.9493400175507434,44.76510535036196,0,0,0,0,False
1652,318.47415920759283,100044.22796060864,0.48431018477809895,24,12,2.695529811747555,57.667508639320246,0,0,0,0,False
1653,338.61784042320346,149677.24162605286,0.300883133951177,25,13,1.5108677352215918,52.14586379137564,0,0,0,0,False
1654,311.78949813434303,123648.99134527147,0.6789471187193105,29,8,1.2889848552850587,59.66433518292023,0,0,0,0,False
1655,311.4090614677282,129162.73101355621,0.6059101421826826,23,12,4.379622264182952,50.418373728175794,0,0,0,0,False
1656,316.8687845307824,145539.7402865368,0.5357674110659258,19,11,4.533299435475843,42.907420570125716,0.5559431550543676,0.00028675116907435523,204999.3246184463,213228.23133029367,True
1657,307.1977995343241,137431.58872998724,0.5305278957876747,26,7,4.1854454348445165,50.38352718289638,0,0,0,0,False
1658,337.3091860701654,111118.33319687651,0.5726109902659422,27,13,1.258057448275441,51.938620626390744,0,0,0,0,False
1659,327.72171848580115,124566.02604473969,0.3959765406807967,16,6,1.8056868905612429,53.99620035839313,0.4153931707742013,8.375639665676894e-05,101832.87064366977,109072.11459225202,True
1660,303.76491810317003,102915.64155663147,0.4655883074040926,21,13,4.11161811776286,45.71148546914467,0,0,0,0,False
1661,310.8395036800411,129016.76795724769,0.5771001217456923,21,8,2.9388065212137784,52.240226282660366,0,0,0,0,False
1662,334.5784858880203,144851.28819514316,0.5585799065869373,23,11,3.8341638450549693,51.34438332970731,0,0,0,0,False
1663,291.5972747448772,102136.3866469421,0.36249649446456106,27,12,2.0116886280800275,44.898874043640134,0,0,0,0,False
1664,292.4691269826309,127649.6206555386,0.6995839971741583,22,11,1.7804597881503264,43.17767276795508,0,0,0,0,False
1665,331.2388848043355,131776.42469568795,0.5938694749943969,28,8,4.792827772667474,52.53677172740626,0,0,0,0,False
1666,331.54072256272536,106141.9852869472,0.4097697515405425,19,6,4.81660215419765,58.87387270780578,0.43172912074069003,3.6072697261374165e-06,210397.8021628014,216910.9502468638,True
1667,315.76812482725785,117080.64526989295,0.4098903229304832,17,7,3.437875174084799,48.332765678154004,0.4277484560196036,5.213451683356936e-05,162122.99660392743,171254.33969714012,True
1668,294.53974265934653,133085.03931782476,0.43725557255462055,17,6,2.752699656919793,43.911228109606306,0.4544158932505738,2.998749397652528e-05,137965.7665417734,150290.19271725803,True
1669,291.2044832969854,127332.04744144289,0.5337817285275626,18,10,2.2045319961702425,53.09927241486827,0.5588784456771644,0.0005438708998871519,117581.43877389966,129871.42143747538,True
1670,321.3543254122771,116684.33860021441,0.5648761232220738,17,12,1.3142326275333736,54.9388947858534,0.5918039735179269,0.009792665554956162,84917.82403140904,92272.37661586041,True
1671,325.8837863031703,141309.35398073142,0.4982988166747089,24,6,2.7389500229380963,53.18158162295529,0,0,0,0,False
1672,337.66207807217097,146055.2807777322,0.3812512198910034,23,12,2.9734909069303312,40.65929533154086,0,0,0,0,False
1673,325.82619388918283,107516.64010666318,0.48470299014527773,15,12,4.023790473700139,52.76480243880262,0.5067815278304376,0.01646702672453433,183831.29889290268,190871.20108270712,True
1674,310.5110664992942,119646.25317070735,0.43407561751220913,29,6,2.1908342524873334,40.14370766243195,0,0,0,0,False
1675,333.32999035565626,124752.61118766374,0.6988320646367281,16,9,4.682011319890536,41.84752138110822,0.7237374002060877,0.0009151503059608701,212186.86448485122,216872.82032503863,True
1676,333.6228944664683,128453.79902096919,0.6362008009731995,29,7,3.267045022986843,58.39776947596124,0,0,0,0,False
1677,315.95724894093973,128269.82034060908,0.5336003792456029,21,10,4.9141588968882255,47.02671999914819,0,0,0,0,False
1678,300.07467281609354,117808.15651974746,0.32941691036700566,29,10,2.0426851331418168,50.18974976451689,0,0,0,0,False
1679,308.7162659330988,142293.3540878756,0.3003341328472146,16,7,2.5020817985511496,43.59647411953716,0.312301574964647,0.00010099216665135732,127146.66415001151,138113.48892374022,True
1680,332.5188312871847,104603.22135570439,0.5085043132391819,29,5,2.172873852574983,43.49612202272128,0,0,0,0,False
1681,317.358652020277,110733.96491206552,0.6698721809772932,27,10,2.597983204965688,56.097267004230176,0,0,0,0,False
1682,301.1386928400719,114316.51852618941,0.6948760225343801,17,10,3.139678054988023,49.258323362954705,0.724213480807032,0.0013452299202892993,153495.159718137,163433.825785702,True
1683,305.2387176477797,145127.384303049,0.31527046285116367,18,11,4.101393567717396,58.98191445743724,0.33245059712104413,0.00038226609520745035,182856.50607564973,194285.29813097086,True
1684,305.534358483717,148980.19849316104,0.35857219404701307,26,5,2.019826129131108,56.62761542652296,0,0,0,0,False
1685,338.0704211419546,129775.67129800185,0.39990838135073287,24,13,4.91725726390959,53.49618136730825,0,0,0,0,False
1686,311.270190182084,127915.25305740157,0.4953307775747615,28,8,2.550247134040723,59.46977803284068,0,0,0,0,False
1687,292.2939995644727,115770.54485806405,0.5562381976953761,29,7,4.966698208914952,58.0076024179602,0,0,0,0,False
1688,345.7606130376731,123096.68983318465,0.4934230199011882,17,7,2.9878687669510318,55.31836415575054,0.5178303925105034,7.660677449022611e-05,145649.6219812868,149230.29600973523,True
1689,332.7660424514936,118445.07658674453,0.4989007425327563,24,12,4.736429298978628,54.13532660912626,0,0,0,0,False
1690,306.7872436448491,123562.35443223393,0.5980438883762731,21,6,4.027084648323815,54.25893503698947,0,0,0,0,False
1691,314.3580671986502,128387.01193755229,0.30462871088283744,28,12,2.9616252421019205,54.194117508540145,0,0,0,0,False
1692,315.27179887427025,131527.68626198528,0.3852700104225729,22,5,2.453098255313824,47.40313555626583,0,0,0,0,False
1693,309.3242805271691,110633.9101946949,0.31389055221920226,15,5,3.7179667874582956,56.070987589872864,0.3301291319514046,3.8021965638446714e-05,169552.04162994874,180338.6067142937,True
1694,305.45735990411947,117583.87247458454,0.409420100875737,24,7,3.168386157527828,42.46041732728647,0,0,0,0,False
1695,330.9402985777531,104992.22618791663,0.6777309510052006,29,10,4.292049569695052,50.45698859596901,0,0,0,0,False
1696,316.505906002967,106747.46744844782,0.40018257401028634,29,8,4.341659380190098,46.54361428446272,0,0,0,0,False
1697,320.01305325401927,125816.86404095318,0.4154127290112242,26,8,3.696826859800052,50.54009661004198,0,0,0,0,False
1698,290.6496603775751,146499.61727656404,0.3698007596055236,17,9,2.777948492907976,59.42551281770956,0.38993467335627857,0.00028116939366402445,136100.3079769736,149446.93479319336,True
1699,343.9034658637893,108235.76090189118,0.48488314863383625,20,10,3.1300643781098847,49.352098399789625,0.5061991463581603,6.974087189498985e-05,151602.26083006518,155550.5761013687,True
1700,290.74001819488774,141001.73678434474,0.31794559542850653,17,13,3.413920441100716,42.19420447693939,0.32996990256591885,0.004947841794321547,160766.2352659486,174429.276671036,True
1701,297.94878141044416,112359.38718167582,0.6508069462323418,20,10,3.748834824076412,43.75671197602041,0.6753334737429929,8.801965177561025e-05,176754.74008195527,187392.5701484292,True
1702,333.7862330717037,100444.02836217295,0.3370483865009981,15,11,3.486807573208994,54.074773442234395,0.3535064700172838,0.005314007260180012,161938.7384742246,168515.7574555061,True
1703,333.9204644109975,101277.4077081976,0.4258910774385055,21,5,4.84460152073086,47.63644222970899,0,0,0,0,False
1704,326.88923186168233,143152.86160370853,0.6229322470094143,15,11,1.824588628279086,57.15566133959155,0.65309320373861,0.020367689096631402,103713.53908376809,109856.77285259409,True
1705,339.7077219549536,100596.4412279218,0.6427027823237482,17,10,1.972729205039609,42.68727154050585,0.6662822706887085,0.001756557952946078,110726.0203963181,114587.69971262956,True
1706,347.55535224612123,105864.5728280298,0.5894862830706653,18,9,2.1113975360253443,49.44601414704283,0.614977521679354,0.0002918169819649064,114896.16494235469,117657.72310375865,True
1707,304.0678830884283,122339.62492100293,0.3189356393381038,21,13,3.5119536264296958,44.383487334233756,0,0,0,0,False
1708,305.6455667948108,141898.95239378425,0.5049512295149006,24,6,2.118547731035915,49.4769394703017,0,0,0,0,False
1709,344.3127174583321,111550.30329075048,0.45224713081982104,18,13,2.7185695045620792,43.21710100362332,0.4695050936640557,0.004056119715049611,136959.47359627532,141011.87822445369,True
1710,331.3260726965775,124659.44423900671,0.6429947440374202,24,10,2.3492781822558877,48.40619126369216,0,0,0,0,False
1711,306.2579427053265,105202.68999041429,0.6331773858539108,16,8,1.3342097215753046,53.63029774157611,0.6627203329300474,0.0010799599010427278,86018.95085271884,95462.92876289634,True
1712,316.21720145155024,122582.74823226163,0.32580400983948393,26,10,4.348911490795664,50.294639909488026,0,0,0,0,False
1713,315.1795031840831,130200.16281762833,0.5273607079736762,22,8,1.5145595138316919,55.18642548096997,0,0,0,0,False
1714,302.56585023694544,135187.3192888044,0.4033818979730452,26,11,2.7899273269702958,40.7682069342822,0,0,0,0,False
1715,323.2946417576541,143511.33149193638,0.3720952905105326,18,6,1.5459869982972467,43.07108254306329,0.386566595402413,1.621419163069421e-05,93152.92845471558,101270.77698857983,True
1716,297.88889638902174,106321.31404936478,0.3399732850354742,24,9,1.9283876119514953,42.88059526819076,0,0,0,0,False
